id,nota_c1,nota_c2,nota_c3,nota_c4,nota_c5,nota_c1_gemma4,nota_c2_gemma4,nota_c3_gemma4,nota_c4_gemma4,nota_c5_gemma4,nota_c1_qwen2.5,nota_c2_qwen2.5,nota_c3_qwen2.5,nota_c4_qwen2.5,nota_c5_qwen2.5,nota_c1_qwen3,nota_c2_qwen3,nota_c3_qwen3,nota_c4_qwen3,nota_c5_qwen3,nota_c1_deepseek-r1,nota_c2_deepseek-r1,nota_c3_deepseek-r1,nota_c4_deepseek-r1,nota_c5_deepseek-r1
1,80,80,80,80,80,2,5,2,5,2,2,3,2,3,0,0,1,2,2,0,1,2,2,2,0
2,160,40,40,120,40,5,2,5,5,5,2,3,3,3,3,3,1,1,3,1,2,2,2,2,4
3,120,120,160,160,0,2,3,2,2,3,2,2,4,0,3,2,2,2,2,2,1,1,1,1,3
4,160,120,120,120,80,3,2,1,3,1,4,3,3,4,3,3,2,2,2,2,1,2,2,4,1
5,120,40,40,160,40,4,3,5,5,5,2,2,2,4,0,2,0,2,2,0,0,0,0,0,0
6,160,40,40,160,40,4,2,2,4,2,3,2,2,2,2,2,1,2,2,2,0,0,0,0,0
7,160,120,120,120,120,3,3,3,3,2,2,2,4,2,0,2,1,2,4,2,0,0,0,2,0
8,120,120,120,120,80,2,1,2,2,1,3,2,2,4,0,2,0,0,2,0,2,3,3,2,1
9,80,80,80,80,80,2,3,3,2,2,3,2,3,4,5,1,2,2,2,0,2,3,2,2,4
10,120,200,160,120,120,3,5,5,4,5,0,2,2,0,2,2,3,3,2,3,4,4,4,4,4
11,120,120,120,120,120,4,5,5,4,5,3,2,2,2,0,4,5,5,4,5,1,2,2,1,1
12,120,40,40,120,40,0,0,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2
13,160,160,120,160,160,5,5,5,5,5,4,3,4,3,0,5,5,5,5,5,2,1,2,1,2
14,120,160,120,120,40,2,3,3,2,2,0,2,2,4,0,0,2,2,2,2,2,2,1,2,1
15,0,0,0,0,0,1,1,1,1,0,0,2,2,2,0,0,1,2,2,0,0,0,1,1,0
16,40,80,120,160,120,1,2,3,2,2,1,2,2,1,0,3,2,2,2,2,2,1,2,3,4
17,160,160,160,160,160,4,4,5,5,3,2,3,2,4,0,4,5,5,5,5,2,2,2,4,5
18,80,80,40,40,40,1,2,2,2,2,2,3,2,2,0,2,2,1,1,1,3,3,3,3,3
19,120,160,160,120,80,5,4,5,5,3,2,3,3,4,5,5,5,4,4,3,4,4,4,4,4
20,120,80,80,120,120,1,3,3,1,1,0,2,2,2,2,1,2,2,2,1,0,1,2,1,0
21,120,160,120,120,40,0,0,1,2,1,0,2,2,2,0,1,2,2,2,0,0,0,2,0,0
