id,nota_c1,nota_c2,nota_c3,nota_c4,nota_c5,nota_c1_gemma4,nota_c2_gemma4,nota_c3_gemma4,nota_c4_gemma4,nota_c5_gemma4,nota_c1_qwen2.5,nota_c2_qwen2.5,nota_c3_qwen2.5,nota_c4_qwen2.5,nota_c5_qwen2.5,nota_c1_qwen3,nota_c2_qwen3,nota_c3_qwen3,nota_c4_qwen3,nota_c5_qwen3,nota_c1_deepseek-r1,nota_c2_deepseek-r1,nota_c3_deepseek-r1,nota_c4_deepseek-r1,nota_c5_deepseek-r1
1,80,80,80,80,80,2,3,3,3,4,2,1,2,3,0,2,3,2,2,1,2,2,2,1,1
2,160,40,40,120,40,4,4,5,4,5,2,1,1,3,0,3,1,1,2,1,4,4,4,4,4
3,120,120,160,160,0,4,5,5,4,4,3,2,3,3,1,3,5,5,4,5,2,4,3,2,3
4,160,120,120,120,80,3,2,2,3,1,2,3,2,3,1,3,2,2,2,3,2,3,3,2,3
5,120,40,40,160,40,3,5,4,4,4,2,4,3,2,1,2,2,2,2,3,2,1,3,1,3
6,160,40,40,160,40,3,2,3,4,4,3,1,2,3,0,4,2,2,2,3,4,3,3,3,3
7,160,120,120,120,120,3,2,2,3,1,2,1,1,2,0,3,0,0,2,0,3,0,2,3,2
8,120,120,120,120,80,4,4,4,4,3,0,1,2,3,0,4,3,4,4,4,4,3,3,4,3
9,80,80,80,80,80,3,4,4,3,3,2,1,2,1,0,3,3,3,2,1,1,2,1,1,2
10,120,200,160,120,120,3,5,5,4,5,2,3,4,3,1,3,4,4,3,4,5,5,5,4,5
11,120,120,120,120,120,3,4,3,2,5,2,1,1,2,3,4,4,5,5,5,3,2,4,3,4
12,120,40,40,120,40,2,2,2,2,2,2,1,1,1,0,2,2,2,2,1,2,1,2,1,3
13,160,160,120,160,160,5,5,4,5,5,2,3,3,2,1,5,5,5,5,5,4,5,5,4,4
14,120,160,120,120,40,2,4,4,2,3,2,3,2,1,0,3,3,4,3,3,2,3,3,3,3
15,0,0,0,0,0,2,0,0,2,0,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0
16,40,80,120,160,120,2,4,2,3,1,2,1,2,1,0,2,2,3,3,3,3,2,3,2,3
17,160,160,160,160,160,4,5,5,4,3,3,2,4,3,2,4,5,5,5,5,5,5,5,5,5
18,80,80,40,40,40,2,2,2,2,2,2,1,1,2,0,2,1,1,2,1,1,1,1,1,1
19,120,160,160,120,80,4,5,5,4,5,3,2,3,3,2,4,5,5,5,5,4,5,5,4,5
20,120,80,80,120,120,2,2,2,2,2,2,1,3,2,0,2,3,2,2,3,2,2,2,2,3
21,120,160,120,120,40,3,4,4,3,3,2,1,2,1,0,3,4,4,3,4,2,3,2,2,3
22,120,120,120,120,120,4,5,5,4,4,2,1,3,3,2,5,4,5,5,5,5,5,5,4,5
23,120,160,160,160,120,3,2,2,3,1,2,3,2,3,1,4,3,4,3,4,5,5,5,4,3
24,0,0,0,0,0,2,3,2,2,0,3,2,1,2,3,2,3,2,2,3,3,3,3,2,2
25,160,200,200,160,160,4,5,5,5,5,3,2,3,4,3,3,5,5,4,5,4,4,4,3,4
26,120,120,80,120,160,4,4,3,3,5,3,4,5,4,2,4,5,5,5,5,5,5,5,5,5
27,160,40,40,120,40,2,2,2,2,0,2,1,1,1,0,2,2,1,1,0,3,2,2,2,0
28,120,120,160,160,120,3,4,3,2,2,2,3,2,1,0,2,3,3,2,3,3,3,3,3,3
29,80,40,40,120,0,2,2,2,2,0,2,1,1,1,0,1,2,2,1,1,1,2,2,1,1
30,120,120,80,80,160,4,5,5,5,4,3,4,2,4,1,2,4,4,3,3,3,3,2,3,2
31,0,0,0,0,0,3,2,2,2,0,2,3,1,3,0,2,2,2,2,0,2,2,2,2,2
32,200,160,200,200,200,4,5,5,5,5,3,2,4,3,1,4,5,5,5,5,4,4,4,4,4
33,120,120,120,160,80,2,3,4,2,2,2,1,3,2,1,2,3,2,2,2,3,3,3,3,3
34,160,160,120,160,160,4,5,5,4,5,3,4,5,2,1,4,5,5,4,5,4,4,4,4,4
35,120,120,120,120,80,3,2,2,2,0,2,3,4,3,2,2,3,4,3,4,2,3,3,2,4
36,120,40,40,120,0,3,2,2,3,1,2,3,4,3,0,3,2,2,3,1,0,2,2,0,0
37,160,120,160,160,160,4,5,4,4,5,2,3,3,2,1,5,5,5,5,4,5,5,5,5,4
38,120,40,80,80,0,2,2,2,1,0,3,4,3,2,1,2,2,2,2,0,2,3,2,2,0
39,120,120,80,80,80,3,4,4,3,4,2,3,3,2,4,3,4,4,3,5,3,3,3,2,4
40,120,40,40,120,40,3,2,3,3,2,3,2,1,2,0,2,2,2,2,1,3,3,3,3,4
41,120,160,160,120,120,3,5,5,4,5,2,4,3,3,2,3,4,5,3,4,4,3,3,3,4
42,80,80,80,80,40,2,2,2,2,0,3,2,1,2,4,2,2,2,2,2,0,2,2,0,1
43,160,120,120,160,160,4,5,5,5,5,2,3,3,2,4,4,5,5,5,5,5,5,5,5,5
44,120,40,40,120,0,2,2,2,2,0,3,4,2,3,0,4,4,3,3,0,1,1,2,1,0
45,160,40,40,160,40,2,2,2,3,2,2,3,2,3,1,3,4,4,3,4,2,2,2,2,3
46,160,200,160,200,160,4,5,5,5,5,3,4,5,2,1,4,5,5,5,5,3,4,4,4,4
47,160,160,160,160,160,4,2,3,3,3,2,1,3,2,4,3,1,1,2,2,2,2,2,2,2
48,160,200,160,160,160,5,5,5,5,5,3,2,4,3,2,4,5,5,5,5,5,5,5,5,5
49,80,80,40,40,80,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,0,1,3,2,3
50,160,160,200,160,200,4,5,4,4,5,2,1,3,2,1,5,5,5,5,5,4,5,5,4,4
51,40,40,40,40,40,2,2,1,2,0,2,1,1,1,0,3,2,2,2,1,2,0,1,2,0
52,160,200,120,120,80,4,2,3,4,2,2,1,1,2,0,3,4,4,4,3,5,3,5,4,4
53,120,160,160,160,80,3,4,4,3,4,2,3,2,1,0,3,3,3,3,4,5,5,5,3,3
54,120,120,80,120,40,2,3,3,2,1,2,3,2,3,4,3,2,2,3,4,1,2,2,1,3
55,120,120,80,120,120,2,2,2,2,0,2,1,2,1,0,2,2,3,2,1,1,2,1,1,2
56,160,120,160,120,80,4,3,3,3,2,2,3,2,3,1,3,4,4,3,4,4,3,3,4,3
57,80,80,80,80,80,5,5,5,5,5,3,2,3,3,4,3,4,4,4,5,4,5,4,4,5
58,160,120,120,160,120,4,5,4,5,5,2,3,2,3,4,4,3,4,4,4,5,4,4,4,4
59,120,120,120,120,160,4,3,4,4,5,2,3,3,2,4,5,4,4,5,5,5,5,5,5,5
60,120,160,160,120,160,4,5,4,3,3,3,4,2,3,4,4,5,5,4,5,5,5,5,5,4
61,160,120,120,120,160,2,3,2,2,2,2,3,3,2,1,3,4,4,4,4,5,4,5,4,5
62,160,200,120,120,160,4,4,4,4,4,2,3,4,3,2,5,5,5,5,5,5,5,5,5,4
63,80,80,80,80,80,3,3,2,3,4,2,3,2,3,4,3,3,3,3,4,1,2,2,1,3
64,160,120,120,120,120,3,4,3,4,4,1,2,3,2,4,4,2,2,3,4,4,4,5,4,4
65,160,80,160,160,160,5,2,4,5,5,0,2,1,2,0,5,5,5,5,5,4,5,4,3,5
66,120,120,120,120,120,2,3,2,2,2,2,1,1,2,3,2,2,2,2,2,1,1,1,1,1
67,0,0,0,0,0,4,1,2,3,2,2,1,3,2,0,2,1,2,2,0,0,0,0,0,0
68,120,120,120,120,40,3,4,2,3,2,2,1,2,3,0,2,2,2,2,1,2,2,2,2,2
69,160,200,160,200,160,4,3,2,4,2,2,3,4,3,1,3,4,4,3,4,4,3,4,4,3
70,160,160,160,120,0,4,4,4,4,2,3,4,5,4,2,5,5,5,5,5,5,5,5,5,5
71,120,120,120,160,80,2,3,2,2,2,2,3,2,3,4,2,2,3,3,3,1,1,2,1,2
72,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0
73,160,120,80,120,80,3,3,3,3,2,2,3,2,1,0,4,3,3,3,3,1,2,2,1,2
74,80,120,120,120,160,3,4,4,3,5,3,2,2,3,4,2,3,3,2,4,4,4,4,4,4
75,160,200,120,160,120,4,3,4,4,5,3,4,5,4,2,5,5,5,5,5,5,5,5,5,5
76,0,0,0,0,0,3,3,2,2,0,2,3,1,2,0,2,2,2,2,0,3,4,4,3,4
77,80,120,120,80,80,4,2,2,4,0,2,3,4,3,2,4,4,4,4,2,4,5,5,4,4
78,120,40,80,120,40,3,2,2,2,2,3,2,1,3,2,3,3,3,3,2,3,3,4,3,4
79,0,0,0,0,0,2,0,2,3,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0
80,120,40,40,80,40,2,3,3,2,2,2,1,1,1,0,2,2,2,2,1,1,0,1,1,2
81,0,0,0,0,0,3,3,4,2,2,2,1,3,2,1,3,3,4,3,4,1,1,1,0,0
82,120,40,40,160,40,2,0,2,2,0,0,1,1,2,0,2,0,0,1,0,2,0,2,2,2
83,80,120,80,80,40,3,4,3,3,4,2,3,2,1,0,2,3,3,2,2,2,3,3,2,3
84,120,40,40,120,40,2,2,2,1,0,2,1,1,1,0,2,1,2,2,0,1,0,0,0,0
85,160,120,160,120,160,4,5,5,5,5,3,2,4,3,5,3,5,5,4,5,5,5,5,5,5
86,120,160,160,120,120,4,5,5,4,5,3,2,4,3,5,3,4,4,3,4,2,4,4,2,3
87,120,40,40,120,40,4,2,4,3,5,0,1,2,3,4,3,2,3,2,3,0,0,0,0,0
88,120,120,120,120,160,3,4,2,3,4,2,3,2,1,0,2,3,2,2,1,2,2,2,2,3
89,0,0,0,0,0,2,0,2,2,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0
90,120,200,160,120,80,4,2,3,4,2,2,1,2,3,0,3,2,3,3,2,0,0,0,0,0
91,80,80,80,80,80,4,5,5,4,4,2,3,2,3,4,3,1,2,2,2,4,4,4,4,4
92,120,80,120,120,80,4,5,4,4,2,0,2,3,2,0,4,2,3,4,4,3,1,2,2,2
93,160,120,160,160,0,3,4,2,3,0,3,4,2,3,1,4,4,4,4,0,5,5,4,3,4
94,160,120,160,120,120,5,5,5,5,5,2,3,3,2,1,4,5,5,5,5,5,5,5,4,3
95,160,120,160,160,80,4,5,5,4,5,2,3,3,2,4,3,5,5,4,5,4,4,5,4,4
96,160,160,160,160,120,4,5,5,5,5,2,1,3,2,4,4,3,4,4,5,3,4,3,2,1
97,120,160,120,120,80,4,3,4,5,0,2,3,3,2,1,4,3,3,4,2,3,4,4,3,2
